feature,count,missing_count,missing_pct,mean,median,std,min,max,skewness,kurtosis,p1,p99
ABK_dbdt_magnitude,3924787,1246253,24.100625792877256,0.08248824229981558,0.031768887792391405,0.17983485947482425,7.384856878179416e-06,19.124937112342565,11.473640975481647,337.9739085185512,0.0017513922594896475,0.7835243301397069
BJN_dbdt_magnitude,5119200,51840,1.0025062656641603,0.10350588808385089,0.052814147688424615,0.17607325655483666,1.2213937848943308e-05,13.744377573432661,7.936740368836207,138.5805172946981,0.003201450527900469,0.8171124859772292
TRO_dbdt_magnitude,4649446,521594,10.086829728642595,0.08545721687580564,0.03504664621881788,0.1703890647990171,9.719282095110674e-06,14.97635030382648,9.4616015222685,212.25915931663326,0.001999105883152623,0.7642681415737271
goes_xrsb_flux_log10,5041518,129522,2.5047572635291933,-6.878238536258554,-6.772578238760081,1.031087271272704,-9.0,-2.8737922719249025,-0.23804342537122264,-0.8819787636191831,-9.0,-5.0101720741172695
goes_xrsa_flux_log10,5041517,129523,2.5047766019988242,-8.065777789123283,-8.083752161652223,0.6955116725222759,-9.0,-3.305117136904126,0.616242758387215,0.7176350614614782,-9.0,-6.108827752477972
omni_bz_gsm,4613429,557611,10.78334338933754,-0.10262510925531387,-0.10999999940395355,3.3569905757904053,-47.45000076293945,53.599998474121094,-0.16558529899609534,6.930481311251889,-9.0,8.90999984741211
omni_vx,4685081,485959,9.397703363346638,-417.6986999511719,-396.70001220703125,91.43904113769531,-1027.0999755859375,-247.60000610351562,-0.9849509400318631,0.7125255956157446,-678.5,-286.20001220703125
omni_proton_density,4685081,485959,9.397703363346638,6.618113040924072,5.21999979019165,5.081408977508545,0.07999999821186066,80.94999694824219,2.9609339701256427,15.783737036138469,1.1799999475479126,26.239999771118164
omni_pressure,4685081,485959,9.397703363346638,2.132613182067871,1.75,1.6185429096221924,0.03999999910593033,66.44000244140625,5.792484858179722,87.33601276293479,0.4300000071525574,8.220000267028809
goes_bz_gsm,5130873,40167,0.7767683096630464,81.14308166503906,81.58810424804688,21.323442459106445,-1017.3181762695312,2162.15380859375,0.36975573775598586,94.34597696014677,30.694861221313477,129.22006652832033
leo_dayside,5169817,1223,0.023650948358550698,118.05226862492314,100.07376262215183,92.41940525088012,2.263861929407145e-131,2419.2681796172546,1.260970975850369,4.463873042781112,2.011832301434246,380.7706295391633
leo_nightside,5169851,1189,0.02299344039110121,104.67809244539545,86.10752694018082,82.75261893084324,4.9625126842391216e-132,2006.5854502059146,1.2231369785773778,4.22220305450997,2.092974324307229,321.01659379974257
newell_phi,3541886,1629154,31.50534515300597,3577.138328445353,2624.98294033059,3705.8019522023483,0.0,91104.76780731263,2.8429068402231352,23.21147317595009,0.34025308081148486,15873.386230243425
