n_events_true,n_events_pred,true_negatives,false_positives,false_negatives,true_positives,pod,far,pofd,accuracy,precision,f1,hss,bss,brier_score,roc_auc,ece,model,station,roc_auc_note,decision_threshold
1668,27802,498489,26794,660,1008,0.60431654676259,0.9637436155672254,0.05100869436094448,0.9479002791530902,0.03625638443277462,0.0684085510688836,0.06281124855650572,,,,,Persistence,ABK,,
1668,0,525283,0,1668,0,0.0,,0.0,0.9968346202967638,,0.0,0.0,-0.00032131584173122896,0.0031563739417488305,,,Climatology,ABK,Only one class present or all identical probabilities,
1668,1852,523749,1534,1350,318,0.1906474820143885,0.82829373650108,0.0029203305646670463,0.9945270053572344,0.1717062634989201,0.1806818181818182,0.17794367785494145,-0.185387206571076,0.003740323464521033,0.9262022585144248,0.002418665617253267,LogisticRegression,ABK,,
1668,4617,521053,4230,1281,387,0.23201438848920863,0.9161793372319688,0.008052802013390876,0.9895417220956029,0.08382066276803118,0.12315035799522674,0.11905341446352487,-15.864704836184888,0.05321421630951391,0.8842508030306432,0.07988641544395483,LightGBM,ABK,,0.9504040404040404
564,25096,498290,24906,374,190,0.33687943262411346,0.9924290723621294,0.04760357495087883,0.951733618451199,0.007570927637870577,0.014809041309431021,0.012729532466838684,,,,,Persistence,BJN,,
564,0,523196,0,564,0,0.0,,0.0,0.9989231709179777,,0.0,0.0,-0.0015867034894050391,0.0010773762897330669,,,Climatology,BJN,Only one class present or all identical probabilities,
564,1126,522104,1092,530,34,0.06028368794326241,0.9698046181172292,0.00208717192027462,0.9969031617534748,0.03019538188277087,0.040236686390532544,0.03885752138373417,-0.9147070063424956,0.002059591968655769,0.8788337340618834,0.003434458519351563,LogisticRegression,BJN,,
564,6517,516771,6425,472,92,0.16312056737588654,0.9858830750345251,0.012280292662787943,0.9868317550022911,0.014116924965474911,0.025985030362943088,0.024050581703852013,-51.34104293118707,0.05630166458630309,0.8455781189821924,0.10491738263418568,LightGBM,BJN,,0.8613131313131313
341,8142,131223,8001,200,141,0.41348973607038125,0.9826823876197495,0.0574685399069126,0.9412388492816967,0.017317612380250553,0.03324295650123777,0.02868732547982976,,,,,Persistence,TRO,,
341,0,139224,0,341,0,0.0,,0.0,0.9975566940135421,,0.0,0.0,-9.506823044724833e-05,0.0024375679555580245,,,Climatology,TRO,Only one class present or all identical probabilities,
341,799,138508,716,258,83,0.2434017595307918,0.8961201501877347,0.005142791472734586,0.9930211729301759,0.10387984981226533,0.1456140350877193,0.14267777945525267,-0.7488790006946411,0.0042626061718157495,0.8950085796041166,0.006524546767336078,LogisticRegression,TRO,,
341,1698,137595,1629,272,69,0.20234604105571846,0.9593639575971732,0.011700568867436648,0.9863791065095117,0.04063604240282685,0.06768023540951447,0.06387076923900203,-33.39956871521293,0.08384331554957523,0.8134681754232889,0.1195272330863398,LightGBM,TRO,,0.98010101010101
